steps	mean	std	min	max	val	final
0	0.32974	0.01382	0.30845	0.35053	0.4059799909591675	0*
10000	0.62869	0.09835	0.16831	0.77095	0.6980800032615662	0*
20000	0.65926	0.06452	0.42789	0.78487	0.7798399925231934	0*
30000	0.70572	0.05731	0.51748	0.80421	0.8162000179290771	0*
40000	0.71698	0.0665	0.51917	0.82626	0.7397300004959106	0*
50000	0.72863	0.05457	0.48456	0.81676	0.7244300246238708	0.72863*
60000	0.71715	0.05691	0.50322	0.81608	0.6902300119400024	0.72863*
70000	0.7304	0.05096	0.57211	0.81642	0.7148200273513794	0.72863*
